chamber,congress,year,party.mean.diff.d1,prop.moderate.d1,prop.moderate.dem.d1,prop.moderate.rep.d1,overlap,chamber.mean.d1,chamber.mean.d2,dem.mean.d1,dem.mean.d2,rep.mean.d1,rep.mean.d2,north.rep.mean.d1,north.rep.mean.d2,south.rep.mean.d1,south.rep.mean.d2,north.dem.mean.d1,north.dem.mean.d2,south.dem.mean.d1,south.dem.mean.d2
House,111,2009,0.8053382616764615,0.16741071428571427,0.2339622641509434,0.07103825136612021,0,-0.01991294642857143,0.03624776785714286,-0.3488792452830189,0.037769811320754715,0.4564590163934426,0.03404371584699454,0.4379047619047619,-0.03398095238095238,0.48143589743589743,0.12561538461538463,-0.3641062801932367,-0.024516908212560386,-0.2945344827586207,0.2600689655172414
House,112,2011,0.8607224489795918,0.0898876404494382,0.12,0.0653061224489796,0,0.08068089887640449,0.006889887640449439,-0.3932,-0.032365,0.46752244897959183,0.038934693877551024,0.44359060402684564,-0.009026845637583892,0.5046666666666667,0.113375,-0.4005493827160494,-0.08829012345679012,-0.36186842105263156,0.20605263157894738
House,113,2013,0.8663058823529411,0.09009009009009009,0.12254901960784313,0.0625,0,0.08398423423423423,-0.004463963963963963,-0.3842892156862745,-0.06924509803921569,0.48201666666666665,0.0506,0.4508358208955224,0.02198507462686567,0.521433962264151,0.08677358490566038,-0.38559146341463413,-0.1129390243902439,-0.37895,0.1099
House,114,2015,0.8748603900188718,0.07936507936507936,0.08947368421052632,0.07171314741035857,0,0.10334693877551021,-0.006503401360544217,-0.39458947368421055,-0.0764421052631579,0.48027091633466135,0.04643824701195219,0.4455793103448276,0.013779310344827588,0.5277264150943396,0.09111320754716981,-0.3941948051948052,-0.1169025974025974,-0.3962777777777778,0.09663888888888889
House,115,2017,0.877959,0.07777777777777778,0.1,0.06,0,0.09894,-4.288888888888877e-4,-0.388815,-0.0554,0.489144,0.043548,0.4467152777777778,0.03878472222222222,0.5467830188679246,0.0500188679245283,-0.3886604938271605,-0.0964320987654321,-0.3894736842105263,0.11952631578947369
House,116,2019,0.8714035256410257,0.09799554565701558,0.15416666666666667,0.03365384615384615,0,0.03420935412026726,0.024427616926503342,-0.37109583333333335,-6.291666666666665e-4,0.5003076923076923,0.057942307692307696,0.4579739130434783,0.06815652173913044,0.5526559139784947,0.04531182795698925,-0.3676302083333333,-0.04618229166666667,-0.38495833333333335,0.18158333333333332
House,117,2021,0.881736044533787,0.08351648351648351,0.12931034482758622,0.03587443946188341,0,0.05294065934065934,0.016092307692307694,-0.3792068965517241,-0.03048706896551724,0.5025291479820628,0.06455156950672646,0.46275,0.085171875,0.5561263157894737,0.03676842105263158,-0.37533879781420765,-0.08365573770491803,-0.3936530612244898,0.16808163265306122
House,118,2023,0.8922403940100896,0.08035714285714286,0.1232876712328767,0.039301310043668124,0,0.07197321428571428,0.012466517857142858,-0.38410502283105025,-0.03791780821917808,0.5081353711790393,0.06065065502183406,0.4693875968992248,0.07555038759689922,0.55812,0.04143,-0.3778,-0.08130857142857142,-0.4091818181818182,0.13465909090909092
Senate,46,1879,0.7479428571428571,0.16049382716049382,0,0.34285714285714286,0,-0.1245679012345679,-0.07762962962962963,-0.4526,-0.11675555555555556,0.29534285714285713,-0.02717142857142857,0.2963030303030303,-0.07927272727272727,0.27949999999999997,0.8325,-0.4551363636363636,-0.2635909090909091,-0.45017391304347826,0.023695652173913045
Senate,47,1881,0.7635713450292398,0.1411764705882353,0,0.24444444444444444,0,-0.030047058823529413,-0.08092941176470589,-0.4488157894736842,-0.052763157894736845,0.31475555555555557,-0.11304444444444445,0.31634090909090906,-0.13218181818181818,0.245,0.729,-0.4551176470588235,-0.19905882352941176,-0.44371428571428573,0.06566666666666666
